licno,address,capacity,boro,bbl,factype,cd,zipcode,juris,longitude,latitude,TableDate
2103401-DCA,350 W 50TH ST,473,Manhattan,1010407501.0,Garage,104.0,10019.0,NYCDCWP,-73.98849179999999,40.7628808,2022_08
2024291-DCA,May-52 50TH AVE,50,Queens,4000330045.0,Parking Lot,402.0,11101.0,NYCDCWP,-73.95469920000001,40.742619,2022_08
2103294-DCA,4209 28TH ST,162,Queens,4004207501.0,Garage,402.0,11101.0,NYCDCWP,-73.9388939,40.749341799999996,2022_08
2098961-DCA,3310 AVENUE H,200,Brooklyn,3075790029.0,Garage,317.0,11210.0,NYCDCWP,-73.9432747,40.6315001,2022_08
0469417-DCA,2041 BRONXDALE AVE,61,Bronx,2042580023.0,Parking Lot,211.0,10462.0,NYCDCWP,-73.8664114,40.8503662,2022_08
1216515-DCA,15 METROTECH CTR,268,Brooklyn,3020470040.0,Garage,302.0,11201.0,NYCDCWP,-73.98453690000001,40.6940089,2022_08
2103394-DCA,100 W 12TH ST,40,Manhattan,1006070038.0,Garage,102.0,10011.0,NYCDCWP,-73.998369,40.7360103,2022_08
1323991-DCA,40 W 57TH ST,140,Manhattan,1012720063.0,Garage,105.0,10019.0,NYCDCWP,-73.9763588,40.7635487,2022_08
2010698-DCA,616 courtlandt avenue,42,Bronx,2023980002.0,Parking Lot,201.0,10451.0,NYCDCWP,-73.9185591,40.818054700000005,2022_08
2103404-DCA,61 7TH AVE,78,Manhattan,1007900001.0,Garage,104.0,10011.0,NYCDCWP,-73.99907979999999,40.738749600000006,2022_08
2103424-DCA,1240 EDWARD L GRANT HWY,140,Bronx,2028710002.0,Parking Lot,204.0,10452.0,NYCDCWP,-73.921813,40.8376295,2022_08
1100021-DCA,400 E 54TH ST,140,Manhattan,1013657502.0,Garage,106.0,10022.0,NYCDCWP,-73.9640026,40.7560029,2022_08
2090542-DCA,131 AMSTERDAM AVE,375,Manhattan,1011377501.0,Garage,107.0,10023.0,NYCDCWP,-73.984262,40.774221600000004,2022_08
